minwon_title,minwon_content,minwon_type,minwon_department
 성수대교 가는 길 도로 보수 언제 하시나요, 정확한 주소는 알 수 없어 삼표산업 성수공장 주소를 찍었습니다뚝섬서울숲 버스정류장 조금 지나서성수대교 방면 갓길 쪽 도로 보수 요청입니다저기가 항상 물이 고여있고 비가 오는날은 더 많이 고여있습니다비가 오는날도 아니었는데 저기 걸어가다가 자동차가 밟아서 물이 인도까지 튈 정도입니다깜짝 놀라서 확인해보니 엄청 깊게 패여서 물이 고여있었습니다로드뷰 확인해보니 년 월 촬영본인데 그때나 지금이나 똑같네요로드뷰 봐도 비가 안와도 항상 고여있는거 같고요이거 년 넘게 방치중인데 도로 보수공사 요청합니다비가 오든 안오든 일 물이 고여있어서 차가 밟기라도 하면 보행자에게 피해가 갑니다 첨부파일    ,안전건설교통국 토목과,안전건설교통국
 왕십리동 주민센터 건강해 문의드립니다, 건강해 사용하고 있는 성동구 왕십리동 주민입니다 코로나 거리두기가 사라진 지금 처음 이용할 때 인테리어 문제로 샤워실을 사용하지 못한다는 사실을 들었지만 언제 사용이 가능한지에 대하여 문의 드립니다 그리고 매번 헬스화를 들고 다니는데 혹시 보관함 혹은 따로 사물함 같이 이용이 가능한 지에 대하여 답변 부탁드립니다,왕십리동,이송이첩/다부처병렬
 성동구 메이커스페이스큐브 운영 개선, 성동구메이커스페이스큐브 운영 중 세부 사항에 관한 내용입니다해당 기관에는 레이저 커터를 신청해서 이용할 수 있는 프로그램이 있습니다 실제로 신청해서 사용하려는 과정에서 레이저 집진 시설 유지 보수 문제로 정확히는 그곳의 이 담당자의 이야기로는 집진 필터 교체 비용 지급 문제 당분간 사용이 불가하다고 합니다 이런 간단한 문제가 해결이 안되어 이 시설을 장기간 쓸 수 없다는 것은 상식적으로 이해가 어려운 부분입니다  다른 지자체도 이런 프로그램을 시행하고 있으니 그 곳에서 쓰면 될 일이겠으나 알고 있는 관할 구내의  다른 유사 기관의 여건을 보면 다음과 같습니다 구내 다른 기관 레이저 커터 운용 동종 기기 대 사용함 대는 수리 중 다른 한 대는 다른 목적으로 사용 중구내 다른 기관 레이저 커터 대 비치 사용 여부는 공개된 내용이 없어 알지 못함여러 기관에서 공통적으로 사용하는 기기라면 그리고 집진 필터와 관련된 이런 일상적 비용이 없어서 해당 큐브 내 기기를 그냥 방치한다는 것은 공적 자금의 낭비인 듯 합니다 개선의 조치가 필요하다고 생각합니다 정 운영이 어려우면 아예 폐지를 하고 다른 구청의 시설을 이용하도록 안내하는 것이 낫겠다는 생각입니다 그리고 해당 기관의 담당자는 사용자의 문의가 있으면 적절히 안내를 하는 것이 필요합니다 마치 조선 시대의 관리 같은 말투로 짜증스럽게 전화 응대하는 것은 불쾌하기까지 합니다,기획재정국 일자리정책과,기획재정국
 금호동가 주거환경 개선 요청바퀴벌레 등 유해해충 방역및 쓰레기 처리, 안녕하세요금호 구역 거주하고있는데요늘 이맘때 바퀴벌레가 많았지만 올해는 하루 마리 미만으로보면 운수가 좋은 날이다 할만큼 심각하네요어르신들보면 층에서 문열고 생활하시는데건강상 정말 안좋을것같아요제가 쓴 주소 근방 몇미터 소독을 해서 될게아니라금호교회 쪽 골목부터 위까지 싹 방역이 필요해보여요바퀴벌레가 벽을타고 올라가는걸 수십번 목격하고방역요청 드리려했으나 계속 비소식이 있어 참다참다 글을 씁니다 정말 상상하시는것보다 훨씬 많아요글쓸때 일회성으로 저희집근처만 방역이 이루어지다보니 나아질 기미는 보이지 않는듯해요최소한 하계기간만이라도 정기적인 방역이 필요할듯해요모기보다 바퀴가 많습니다 여기하계기간 구역 주택단지 정기적인 해충 방역 간곡히 요청드립니다 그리고 당장 방역도 시급합니다,보건소 질병예방과,보건소
 마장동왕십리에 바퀴벌레가 너무 많아요, 작년까지만 해도 길가에 바퀴벌레가 보이는 경우는 적었는데요즘에는 길가에 대놓고 큰 바퀴벌레들이 보이더라구요해충 방역좀 부탁드립니다 특히 마장동 원룸촌이요 골목골목 쓰레기가 많아서 바퀴가 더 꼬이는것 같습니다날아다니는 바퀴가 정말 많아요,보건소 질병예방과,보건소
 왕십리역 번출구 금연구역, 왕십리역 번출구 버스정류장주변은  금연구역입니다하지만  삼부아파트 상가쪽 입구는 편의점옆 늘 흡연자들이 있고  금연구역표지판은 무시한채 담배꽁초를 마구 버려두고 있습니다그 방향으로 보행하기가  너무 불쾌한 상태이니 흡연자를 단속하던지  담배꽁초라도 제대로 버리게 쓰래기통 설치해주세요 첨부파일   ,보건소 건강관리과,보건소
 센트라스비즈오피스텔동 외부 소음, 왕십리로 센트라스 비즈 오피스텔동 건물 후면에서  계속 웅하는 소음이 지속적으로 발생합니다기계  소음인지 에어컨 실외기인지 의심스러운데 하루종일 납니다 센트라스동에서  창문을 열수가 없어요창문 닫아도 계속 들립니다진동과 겹쳐서 더 스트레스입니다정확한 위치는 실내테니스징 뒤편의 베란다의 공조장치로 추정합니다좁은 공간에 기계가 꽉 차서 소리가 위쪽으로 울리면서 나갑니다층에서는 보이지않고 소리 울림도 작습니다 아파트 윗층으로 더 크게 퍼져나갑니다기계 를 사용  안할수 없다면  위치 조정 혹은 진동 흡수판 등의 조치를 취해주세요지금까지 민원이 없었다는 걸 믿기 어렵습니다빠른 조치 바랍니다,도시관리국 공동주택과,도시관리국
 성광교회 앞 인도위의 주차문제, 성광교회앞 도로의 인도위에 주차로 인도로 다니기에 불편합니다최근 새롭게 보도블록을 깔아서 인도가 산뜻해져서 걷기에 좋아졌지만밤낮으로 주차된 차들로 인하여 인도에서 차도로 내려서 돌아가야 합니다과거 민원상담을 검색해보았더니 이와 관련된 민원이 여럿건 있었고성광교회앞 인도 주차문제는 고질적인 문제로 여겨집니다더 이상 계도나 단속으로 해결될 수 없다고 판단됩니다인도를 가로질러 주차하지 않는 근본적인 대책을 요청합니다 첨부파일   성광교회앞도로성광교회앞도로 성광교회앞도로성광교회앞도로,안전건설교통국 교통지도과,안전건설교통국
 서마장어린이공원 환경개선 요청건, 안녕하세요 더운날씨에 수고많으십니다 서마어린이집 학부모입니다매일 아이를 등하원시키며 서마장어린이공원을 지나다닙니다이곳은 여명 이상의 서마어린이집 원생들이 하루에도 여러번 이용하는 유일한 놀이터이며여러 사람이 오가며 휴식을 취하기도 하는 어린이공원입니다  서마장어린이공원과 주변 통행로에 금연구역임을 확실히 확인할 수 있도록 조치 바랍니다   어린이공원 옆에 어린이집이 위치해 있다는 것을 흡연자들이 알수있기를 바랍니다   어린이집 정문앞에 서있기만해도 담배연기가 너무 자주 납니다  서마장어린이공원 내 여행용가방 및 쓰레기 폐기바랍니다   도대체 이게 어린이공원이 맞습니까   어린이공원 청소는 주기적으로 언제 어떻게 되고 있는 것인지 궁금합니다   이미 오래전 언제부터 거기에 있었는지 모르겠는 쓰레기 처리 바랍니다    가방 안에 무엇이 들었는지도 모르겠고 습하고 더운 여름 날씨에 악취가 진동합니다   이런 물건이 어린이공원에 비치가 되어있다는게 이해가 안가는 상황입니다    사진 첨부합니다 서마장어린이공원 내 길고양이 밥그릇 치워주세요    아이들이 놀이터에서 놀고 나면 손을 씻는 수돗가 옆으로 길고양이 밥그릇이 위치해 있습니다    길고양이가 소리 지르고 뛰어다니며 노는 아이들에게   위생적으로나 위협적인 것에서부터 안전한지 걱정이고    길고양이 급식을 한다면 굶주리지 않도록 사료를 주겠다는 것이지   어떻게 생고깃덩어리를 저런식으로 던져놓는 걸까요   풀숲에 덩그러니 던져져 해충들만 꼬이고 있는 현실입니다    도대체 그곳에 밥은 어떤 사람이 주는 건지 제대로 관리가 되고 있는건지    그것이 아니라면 주민센터에서 나서서 치워주시던지 큰 길가 쪽으로 위치 변경 바랍니다   사진 첨부합니다 서마장어린이공원 모래놀이터 소독 신청합니다   성동구청 관내 모래 놀이터 소독을 실시하고 있는 것으로 알고 있습니다   서마장어린이공원은 어린이집에서 별도 관리가 들어가는 곳이 아니고    마장동 주민센터에서 관리하는 곳으로 알고있습니다    타지역 어린이공원 놀이터에서는 모래를 주기적으로 검사해    미생물이나 기생충 수치를 뽑아서 붙여놓은 자료를 본 적이 있습니다 혹시 마장동도 시행하고 있는지 궁금합니다      이곳은 그냥 방수포 같은 걸로 걷고 덮으며 사용 중인데 혹시 주기적으로 모래 관리가 되고 있는지요    사진 첨부합니다이상입니다 학부모로써 어린이집에 이러한 문제점들을 문의드렸고어린이집에서도 주기적으로 주민센터에 접수는 한다고 들었지만기다려도 달라지는 것이 없어서 이렇게 민원접수합니다빠른 처리와 답변 기다리겠습니다 수고하세요 첨부파일   서마장서마장 서마장서마장 서마장서마장,도시관리국 공원녹지과,도시관리국
 유치원 교육 과정   채터박스 키즈 영어 교육 과정 관련 민원, 성동구 금호동에서 세 유치원을 등원시키는 학부모 입니다 성동구 금호동 아이들세상 유치원에서 진행해왔던  채터박스 키즈 라는 영어 교육 과정 관련하여 민원 신청을 하고자 합니다 최근 특성화 프로그램 운영이 부적절하다는 성동광진교육지원청의 지도를 받아서 해당 유치원은 학기부터는 관련 교육 과정에 대한 중단 결정을 내렸습니다 해당 교육 과정은 주중 진행되며 일별 분 정도 온라인 교육 프로그램을 선생님과 함께 유치원생들이 즐겁게 공부하는 외국어 교육 과정입니다  해당 과정을 통해 유아 공교육 과정에서 쉽게 접하기 어려운 외국어 과정을 일별 분정도 유치원생들에게 제공하고 있습니다 이 과정은 저희 아이가 가장 좋아하는 영어 교육과정이기도 합니다 아이는 유치원에서 배운 해당 내용을 집에 와서 반복 및 복습하는 과정에서 상당한 행복을 느끼고 있습니다 지역 교육 당국에서 해당 교육 과정 및 비용을 추가로 지원을 해도 아쉬울 판에 지역 교육 당국에서 나와서 지도를 한 뒤 불법교육과정도 아닌 영어 온라인 과정에 대해 운영을 중단 요청을 하는 일이 발생하였습니다 물론 지금까지 해당 과정에 대한 정부 교육 기관의 특별 지원은 일절 없었습니다 교육 관련 정부 기관에서 유아 교육 과정 중 유치원생을 위해 최고 최선의 과정이 무엇인지 어떻게 하면 사립 유치원과의 교육 수준 및 격차를 줄이기 위해 지원 및 연구 보완을 해도 아쉬운 판국에 지역 교육 단체 및 공무원이 영어유치원 및 외부 기관으로부터 신고를 받아 신고 여부는 사실 확인이 필요 됨 공립 유치원에서 진행하는 분짜리 영어 온라인 강좌를 중단하라고 업무 지시를 내렸는지 기가 차고 놀라울 뿐입니다 이와 같은 내용은 본 민원 뿐만 아니라 주요 미디어 및 주간 뉴스에서도 모두가 공론화 해야 하는 아주 기가 찰 만한 내용으로 사료됩니다 또한 공립 유치원 정규 과정에서 분짜리 영어교육 과정에 대해 지역 교육 기관 단체 및 공무원이 교육 과정 중단 요청 라는 타이틀로 모두가 심도 있게 토론이 필요해 보입니다 본 민원 사항에 대해 향후 공립유치원 지원 계획에 대해서 심도 있는 답변 요청을 드립니다  이와 동시에 서울시 교육부 성동구청에 동일한 민원제기를 통해 합리적인 결론을 도출해보고자 합니다,행정관리국 교육지원과,행정관리국
 살곶이 체육공원 내 축구장 인조잔디 교체, 축구를 좋아하고 동호회 활동을 하고있는 성동구민 입니다살곶이 체육공원 내 축구장을 인조잔디로 교체한다는 얘기가몇년전부터 나왔지만 진행이나 예정사항이 진척이 없어 문의드립니다성동구 내 인조잔디 축구장이 다른구에 비하여 부족하여 동호인들 활동하는데제약이 많습니다,행정관리국 문화체육과,행정관리국
 응봉동 대현산 장미원 벌레 퇴치기 설치요청, 최근 장미원 축제도 하고 꽃들이 만발하다보니 산책하는 주민들과 공원방문객도 많이 늘었습니다  긴 장마와 한여름의 특성상 모기가 너무 많치만 대현산에도 설치되어있는벌레퇴치기 하나가 없습니다 응봉 신동아 옆쪽길의 운동시설 두곳과 장미원 덮개가 있는 의자 근처 총 군데 설치요청 합니다,보건소 질병예방과,보건소
 공사현장 진동및 소음, 수신  성동구청 정원오구청장님참조  성동구청 민원과발신  용답동 번지 송전빌딩 입주민 김주영제목   건설공사 소음과 진동에 대한 지도 요청      귀청의 무궁한 발전과 기원을 기원합니다         불천주야 코로나에 의한 과중한 업무 및 민원행정에          노고가 많으십니다         근 개월동안 건물이 흔들리는 진동과 소음에         업무가 진행이 안될 정도입니다         현재 노이로제 걸릴정도라서 사무실에서 업무가 도저히 진행이 안될 정도입니다         격무에 바쁘시지만 현장에 오셔서 태영건설에 소음과 진동에 대해서 태영건설측에다 지도및 제재를 부탁드립니다         시정이 않되면 상급기관 및 매스컴에 제보하여 민원을 제기토록 하겠습니다 첨부파일    ,스마트포용도시국 맑은환경과,스마트포용도시국
 광희중학교에 새로 생긴 전광판을 제거해주세요, 안녕하세요 최근 광희중학교에 새로 생긴  전광판을 제거해주셨으면 합니다광희중학교에서 새로 생긴 전광판이 원색에 너무 밝고 자주 변경되어 집 안에 있어도 눈이 피로합니다낮에도 너무 광고문구마냥 자주 변경되어 신경 쓰이는데 실질적으로 전광판을 사용하는 중학교 직원들과 학생들이 없는 야간에도 계속 변경되어 변경이 필요해 보입니다낮 시간에 시간을 확인하는 용도라면 밝은 술집  전광판이 아닌 아날로그 시계나 덜 피로한 전광판으로 변경하면 좋겠습니다 첨부파일   광희중 빛번짐광희중 빛번짐,도시관리국 도시계획과,도시관리국
 유턴 신호 신설요청, 몇달 전 옥수유수지에 공영주차장이 생긴 이후 종종 이용하고 있습니다하지만 이 공영주차장 이용 후 한림말길독서당로 방향으로 이동하려면 정상적인 주행으로는 금호나들목이나 한남동을 거쳐서 뺑 돌아가는 방법밖에 없습니다이에 옥수어울림더리버 아파트앞 좌회전 신호를 유턴겸 좌회전 신호로  변경하여 이 주차장을 이용하는 시민의 편의를 고려해주기 바랍니다,  연계처리내역    민원상세보기원본 추천기관  경찰청 이송추천사유  교통신호 관련 민원으로 해당기관 이송 요청 담당자이혜민 연락처 처리상태  이송이첩 아래 답변이 안보일 경우 위의  민원상세보기원본을 클릭하여 확인해 주시기 바랍니다  연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다     ,이송이첩/다부처병렬
 성동구 모든 주차장은 가득 찼는데 공영 주차장만 텅텅, 저는 청년 전월세 보증대출 제도를 통해 월말에 다른 구에서 성동구로 이사를 온 청년입니다 이사 후 전월세 보증대출 제도에 맞춰 전입신고를 마치고 집 앞 공영주차장 여부까지 확인 후 공영 주차장에 안내되어있는 월 정기 주차 방법대로 정기 주차를 신청한 저는 너무나도 놀라운 답변을 들었습니다바로 공영 주차장은 단 년에 한번 신청자를 받기때문에 주차 신청을 하려면 년을 기다려야 한다는 답변이었는데요 이에 대해 몇가지 의문사항이 있습니다링크를 첨부한 사진과 같이 성동구 및 송정동의 모든 사설 정기 주차장은 이미 모두 만석 상태입니다 반면 공영주차장은 평일 낮에도 저녁에도 주말 낮에도 저녁에도 항상 여석이나 자리가 남아있습니다 이 말인 즉 시간제 주차를 하는 차들을 포함해도 또한 저녁  성동구 거주자 주차 및 아침 성동구 근무 주차를 모두 포함해도 공영주차장은 자리가 늘 남는 다는 소리인데 년에 한번만 주차 신청을 받는 건 도대체 어떤 탁상 행정인가요 공무원 분들께서 귀찮다는 이유 외에 다른 적절한 납득이 갈만한 이유가 있는 것인가요 사진  늘 석 정도 비어있는 공영 주차장 사진    공영 주차장 주변으로 모두 만석인 사설 정기 주차장 영상  사설 주차장이 모두 만석인 가운데 빈 자리가 홀로 빈자리가 넘치는 공영 주차장 정부에서 운영하는 청년 전월세 보증금 대출 제도는 년이 기한입니다 전월세 보증금 대출 기준에 적합하는 보증금 및 월세 한도 등 대부분의 집은 주차장이  충분히 확보되어있지 않습니다 청년 전월세 보증금 대출 기간인 년이 지나면 다른 곳으로 이사를 해야 할지도 모르는데 공영 주차장 자리 신청은 년에 한번만 신청을 받는다면 이 중 년은 주차가 가능하지 않은 채로 지내라는 건가요 많은 청년들이 전월세 보증금 대출 제도를 통해 성동구에 집을 구할 텐데 마찬가지로 년에 한번만 공영 주차장 자리 신청을 받는 이유는 도대체 무엇인가요 자리가 부족한 거라면 이해를 하지만 시간제 주차를 포함하고도 늘 자리가 남는 공영 주차장 신청을 년에 한번만 받는 이유가 궁금합니다 공영 주차장 어디에도 년에 한번 몇 월 몇 일에 신청을 받는지 공지돼있지 않은 점이 제일 큰 문제입니다 보니까 주차 관련 홈페이지에 있는 게시글로만 공지가 돼있는데 홈페이지를 들어가보지 않으면 공영 주차장에 있는 안내로만 보고는 주차 신청일이 언제 인지조차 알 수가 없습니다 년에 한번만 신청을 받는다면 그 날짜가 굉장히 중요한데 공영 주차장 어디에도 공지 및 안내를 안 해두고 웹사이트에만 공지를 해둔 이유가 있나요 혹시 해당 공무원 분들의 지인을 비롯 정보를 아는 사람들끼리만 공유해서 자리를 확보하기 위함인가요 성동구 모든 주민들에게 열려 있어야 할 공영 주차장이 타당한 이유 없이 년에 한번만 신청을 받는 것도 모자라 그 날짜는 주차장 어디에도 공고돼있지 않는 다면 그것은 정보를 아는 소수만의 주차장 아닌가요공무원 분들은 지정 주차를 이용하시면서 성동구 주민에게 열려있어야 할 공영 주차장은 텅텅 빈 자리에도 불구하고 년에 한번만 신청을 그것도 주차장 그 어는 곳에도 공지돼있지 않은 홈페이지에만 공고된 날짜에 마감을 받는 것은 큰 문제라고 생각합니다 열린 주차장이 아닌 신청일을 미리 아는 사람들만 신청을 할 수 있는 누가봐도 담당자분들 및 정보를 아는 사람들만이 쉽게 자리를 확보하기 위해 만들어진 제도라고 보여집니다 정말로 년에 한번 주차를 받는 명확한 이유가 존재하지 않고 단지 담당자분들의 편의를 위한 혹은 소수의 사람들이 자리를 쉽게 확보하기 위한 제도라면 공론화되어야 한다고 생각합니다 담당자분들께서는 주차장이 년에 한번만 신청을 받고 그 신청일이 주차장 어디에도 공고돼있지 않은 점을 명확히 설명해주시거나현 제도를 개선하여 보다 많은 성동구 주민들이 공영 주차장 정기 주차를 활용할 수 있도록 제도 개선을 해주시기를 바랍니다 첨부파일              ,안전건설교통국 교통지도과,안전건설교통국
 공동흡연구역은 누가 지정하나요, 아차산로길 본죽 골목 입구곤지잼잼어린이집 놀이터 담장성락교회 후문쪽아침 낮 밤 가리지않고담배피는 사람들때문에창문열지 못하고 고통당하고 있습니다평소에 담배꽁초와 쓰레기투척은기본으로 너무너무 지저분해서어린이집 원장님과 선생님이늘 청소를 하시고 계십니다그런데 공동흡연구역 이라는현수막 안내표시가 부착되었네요성수가동 주민자치회에서요너무 화가나고 어이가없습니다그 앞 거주자들에게 동의구하셨나요무슨 기준으로 공동흡연구역을 지정하시나요정말 궁금합니다게다가 금연구역이란 안내판과 나란히붙어있는데 이건 참 어떻게 설명받을 수 있을까요금연구역이라고해도담배피는데 아예 흡연구역이라고 지정을요악취와 각종쓰레기와 벌레들이 들끓고 있는 재떨이 수거 요청하며 흡연구역 표지판도 수거요청합니다 더불어 성수가동 주민자치회의 해명을 듣고싶습니다,성수가동,이송이첩/다부처병렬
 실질적 도움이 안 되고 세금낭비인 구민 자전거보험을 해지해 줄 것을 요청합니다, 지난 민원을 신청하였으나 근본적인 답이 아니라 판단되고실질적 도움이 안 되고 세금낭비인 구민 자전거보험을 해지해 줄 것을 요청합니다지난 년 월 일 오후 시 분 경 아들과 청계천 자전거를 타는중에 살곶이다리와 성동교 중간에서 자전거 사고 발생함아들고이 정상운행중 상대편중년남성이 중앙선을 침범하여 아들은 충돌을 피하기 위해 급브레이크 등 긴급피난을 하여앞이 부러지고신경손상 인중 얼굴표면 센티 찢어지고 구강 안쪽으로 센티정도 찢어짐 그리고 팔다리 등에 찰과상 타박상을 심하게 입음 당시 주변 사람들이 많이 모여들고 주민들이 와 경찰까지 부를 정도로 사태가 심각했음 로 한양대 응급실로 이송되어 성형수술과 치과 진료 받고 귀가함 아직도 치료중에 있어 한양대 병원에 진료받고 있음이에 구민자전거보험을 청구하려 했으나 주이상 진단이 있어야 한다고 함 한양대병원에 요청했으나 일반 진단서는 주가 안되고 상해진단서는 가능하나 상해진단서로 하면 건강보험이 안된다고 함이렇게 상황을 대비해서 자전거사고 보험을 세금으로 가입한 것이라 생각됨 그러나 있으나 마나한 자전거보험으로 아무 보험처리가 안되 보험청구를 포기함이러한 구민 자전거보험은 세금만 낭비고 전시행정일뿐 아무 의미 없음 실질적으로 도움이되는 보험으로 전환하든지 아니면 보험가입을 철회하고 이러한 상황을 성동구민들에게 알려드릴 필요가 있다고 사료되어 민원을 제기함 현 사고는 성동경찰서 교통조사고에서 수사중에 있음,안전건설교통국 교통행정과,안전건설교통국
 어린이집 통학로 흡연구역 지정 철회 및 금연구역 지정 신청, 성수가동 아차산로길   진입로의 공동흡연구역 취소를 신청합니다 해당골목은 안쪽은 주택지역으로 많은 입주민들과 아이들이 살고 있고 간접 흡연으로 인해 여름에도 창문을 열지 못하는등 고통을 당하고 있는 곳입니다 해당골목은 곤지잼잼 어린이집으로 통하는 진입로로 매일 여명의 어린아이들과 학부모들이 통학하는 통학로 입니다 폭 도 채 되지 않는 좁은 길을 흡연자들을 통과해 어린아이들과 유모차가 통과하는게 말이나 되는 일인가요 어린이들이 이를 위해 담장에 예쁜 그림으로 흡연하지 말아달라는 그림을 수십점 이상 붙여놓았고 주기적으로 아이들과 선생님들이 흡연과 쓰례기 투기 하지 말아달라고 해당위치에 서서 고사리손들고 길거리 캠페인을 하는곳인데 그곳을 떡하니 흡연구역으로 지정하다니요 같은 어른으로써 부끄럽습니다 더불어 흡연구역 푯말이 붙은 곳은 어린이 놀이터 담장입니다 어린이 놀이터 담장에 흡연구역 설치가 법적으로 가능한가요 확인해서 답변주세요 담배흡연관련 담당자님 흡연구역 지정시 나와서 어떤 곳인지 확인은 하시나요 현장 방문하시고 저에게 연락주세요 그리고 푯말에 보면 성수가동 자치위원회 라는곳에서 흡연구역지정했다고 하는데 해당지역은 성동구에서 이미 금연구역으로 푯말을 붙여놓은곳인데 그곳을 다시 흡연구역으로 지정할수 있다요 그래서 현재 해당 지역은 금연표지판성동구와 흡연표지판성수가동 자치위원회 이 동시에 붙어 있습니다사진참고 코메디도 아니고 이게 뭔가요 성동구차원에서 위 사항에 대한 구체적인 해명과 조취를 함께 취해주시고 연락주세요 참고로 가동 해당지역에 사는 저는 위 사안에대해 어떠한 사전 동의나 확인을 한 적이 없습니다 해당 지역의 금연구역 지정 및  설치등 구차원의 적극적인 개입과 조취사항 알려주세요 더불어서 기 설치된 재떨이 등 도 모두 수거바랍니다관련사진들 첨부합니다참 아이들 보기 부끄럽습니다 첨부파일     ,성수가동,이송이첩/다부처병렬
 금남시장앞 버스정류장 주변 정비요청, 금남시장 버스정류장 주변 정비요청 건입니다버스정류장 주변에 노점상의 파라솔이 버젓이 인도와 차도를 침범하고 있으며 정류장에서는 오는 버스가 안보입니다 더구나 날씨도 후덥지근한 장마철인데 생선과 야채를 노점상에서 판매하고 있습니다 주변 냄새와 파리등 불편합니다 공공 버스정류장을 침범한 불법 노점상 단속을 왜 안하시는건지요 다른곳은 성동구의 쾌적한 버스승차장 대기실 건으로 칭찬이 자자한데 왜 유독 이곳만은 사각지대인가요쾌적한 버스정류장을 만들어 주세요 첨부파일   ,안전건설교통국 안전관리과,안전건설교통국
 금호산 길에 대해서, 안녕하십니까 저희는 장충고등학교 경제체험반 동아리에서 상권을 조사하던 중 금호산길에 대해 조사를 하고 여러 원인들 중 골목의 환경에 대해서 민원의 말씀을 드리려고 합니다먼저 사진에서 나오다시피 차도에 차가 많이 주차되어 있습니다 저 곳은 골목 초입이기도 하고 주거 지역에서 식당이 밀집된 지역으로 가는 골목이기에 도로가 좁아지면 지나다니는 주민들이 불편을 겪을 수 있습니다 또한 차들로 인해서 시야가 방해받을 수 있어 위험해지기도 합니다 또한 또다른 사진에서 보이듯이 쓰레기 투기 집중단속 지역이라는 팻말이 있음에도 곳곳에 굉장히 많은 쓰레기가 배출 시간이 아님에도 무단으로 투기가 되어 있습니다그래서 저희는 저 골목 주위에 주차장이 필요하다고 생각합니다 저 골목은 식당이 밀집이 되어 있는데 골목이 굉장히 좁습니다 그렇기에 차도에 차를 세우면 통행 자체가 어려워집니다 그렇기에 골목 통행의 원활성과 안전을 보장하기 위해서라도 주차장은 필요할 것입니다 게다가 이미 현재에도 저런 차들의 밀집으로 인해 이미 통행이 불편을 겪고 있기에 주차장 부지를 만드는 것이 필요할 것 같습니다그리고 쓰레기 문제에 대해서 팻말만 집중단속이라고 쓰여 있는데 골목의 환경을 위해서 실질적 대책이 필요합니다 저렇게 쓰레기가 마구잡이로 버려져 있다면 골목의 미관에도 좋지 않고 악취가 나게 됩니다 이를 위해서는 조명 같은 것을 통해서 쓰레기 무단투기를 금지한다는 것을 알릴 필요도 있습니다 쓰레기 무단투기 금지 안내판은 구석에 존재했고 잘 보이지 않는 경우가 많습니다 그렇기에 조명 등을 통해서 사거리 중앙에 무단투기를 금지한다는 안내문을 보여주는 것이 효과가 있을 것이라고 생각합니다 또한 쓰레기 배출 시간에 정확히 배출하게 된다면 이는 큰 문제가 되지 않기에 이를 위해서 정확한 쓰레기 배출 시간에 대한 홍보도 어느 정도는 필요할 수 있다고 생각합니다그 외에도 금연지역이라고 바닥에 써 있음에도 식당 앞에 재떨이가 있는 등 전혀 지켜지지 않았고 비가 오는 날에 가 본 결과 배수로에도 쓰레기가 많이 던져져 있기도 하고 녹이 슬기도 하여서 정비가 필요함을 느끼게 되었습니다이런 여러가지 문제가 종합적으로 나타나고 있는 금호산 길 지역 주민들과 상인들을 위해서 저희의 의견을 귀담아 들어주셨으면 합니다감사합니다 첨부파일     ,안전건설교통국 교통지도과,안전건설교통국
 여전히 벌레가많아요, 응봉역부터 동사무소 아파트에 여전히벌레가많습니다년전에 민원넣었을때는 전화로 위치정확히 확인후 소독차가 돌아다니는 소리가들렸는데 몇시쯤 방문해주셨는지요그때는 아파트까지도 해주셨는데 이번엔 본인쪽이 아니라는 답변이 너무 무책임합니다 아파트내에 있는벌레들이 아파트에서 나온건가요주변 공사로인해 아파트까지 들어와 주민들이 피해를보는데 어떡해 그렇게 관할이아니니 아파트 관리실에 문의하라고 하시는지 이해가안됩니다소독이 몇시쯤 어디구역을 다녔는지도 바로 문자로 알려주시고 인근 아파트쪽도 부탁드립니다,보건소 질병예방과,보건소
 주말주차,   동일고충민원여부동일고충민원여부       동일고충민원여부 선행민원번호    새창선행민원상세조회,안전건설교통국 교통지도과,안전건설교통국
 성동번 마을버스, 이 동네에서 거주한지 년이 넘었는데  이버스는 점점 별로에요 내돈 내고 타는 버스이지만 여름에 진짜 지하철 만큼 일반 버스만큼 시원한걸 본적이없어요 작성일 기준일 월일 오후시 기준 도정도이고  퇴근시간이라 당연히 사람은 많고  창문이라도 잘열리면 말이라도 안해요 뻑뻑해서 열리지도않음 시설 점검은 하는건지 해당운수 점검시급 그리고 에어컨에서 물 와르륵 떨어져요 몆년도식 버스에요 진짜 민원 을 걸까 말까 천번정도 작년부터 생각하다 글 써봅니다 이버스때문에 짜증나서 출퇴근용으로 전기스쿠터 예약했어요 진짜  비오는날은 어쩔수없이 타야하는데 무슨 인도도 아니고  사람들 다 땀뻘뻘 너무 짜증나요  해결좀 해주세요,안전건설교통국 교통행정과,안전건설교통국
